Frame number, frame time (s), total iterations, pixels, guessed pixels, precision
   1, 0.0083, 101003, 921600, 0, FPU calcs
   2, 0.1236, 151609, 921600, 0, FPU calcs
   3, 0.1268, 505283, 921600, 0, FPU calcs
   4, 0.1399, 2324228, 921600, 0, FPU calcs
   5, 0.1329, 8590320, 921600, 0, FPU calcs
   6, 0.1241, 35270113, 921600, 0, FPU calcs
   7, 0.1183, 140791190, 921600, 0, FPU calcs
   8, 0.1207, 562323311, 921600, 674006, FPU calcs
   9, 0.1431, 2242268441, 921600, 804958, FPU calcs
  10, 0.1669, 8948931055, 921600, 773826, FPU calcs
  11, 0.1841, 22970041940, 921600, 855370, FPU calcs
  12, 0.1817, 23529267345, 921600, 856800, FPU calcs
  13, 0.1545, 21891042532, 921600, 839965, FPU calcs
  14, 0.1914, 19565668005, 921600, 806373, FPU calcs
  15, 0.2229, 18035632048, 921600, 736891, FPU calcs
  16, 0.2722, 13890706085, 921600, 663814, FPU calcs
  17, 0.3029, 7159418302, 921600, 451759, FPU calcs
  18, 0.3106, 5417886170, 921600, 316783, FPU calcs
  19, 0.2485, 1873005732, 921600, 313706, FPU calcs
  20, 0.2162, 376763188, 921600, 308483, FPU calcs
  21, 0.2459, 1264431351, 921600, 205011, FPU calcs
  22, 0.3111, 4771420770, 921600, 236788, FPU calcs
  23, 0.3440, 13178129613, 921600, 343456, FPU calcs
  24, 0.3658, 19977746049, 921600, 434222, FPU calcs
  25, 0.4067, 19205728004, 921600, 404128, FPU calcs
  26, 0.4410, 12929967445, 921600, 285675, FPU calcs
  27, 0.5243, 8975043353, 921600, 194419, FPU calcs
  28, 0.5494, 3429822663, 921600, 77670, FPU calcs
  29, 0.3772, 615442427, 921600, 45655, FPU calcs
  30, 0.3109, 404170352, 921600, 131927, FPU calcs
  31, 0.2819, 358681520, 921600, 256270, FPU calcs
  32, 0.2826, 364159333, 921600, 294085, FPU calcs
  33, 0.2813, 388177479, 921600, 216224, FPU calcs
  34, 0.3001, 442513504, 921600, 168829, FPU calcs
  35, 0.3661, 572022945, 921600, 64382, FPU calcs
  36, 0.4259, 720372664, 921600, 17801, FPU calcs
  37, 0.4333, 724408529, 921600, 44546, FPU calcs
  38, 0.4080, 679671957, 921600, 95353, FPU calcs
  39, 0.3546, 637430805, 921600, 188835, FPU calcs
  40, 0.3376, 627008381, 921600, 318090, FPU calcs
  41, 0.2638, 606937698, 921600, 570591, FPU calcs
